task_id,category,variant,verifier_score,contradiction_rate,synthesis_confidence,time_to_retained_policy,reruns_to_retained_policy,token_cost_per_retained_policy,checkpoint_acceptance_rate,correction_uptake_rate,checkpoint_to_improvement_lift,checkpoint_attribution_index
analytical-001,analytical_reasoning,baseline_autonomous,0.631007,0.371797,0.661982,141.596548,2.721699,3716.790757,0.494271,0.434271,-0.017055,-0.007918
analytical-001,analytical_reasoning,rehydration_only,0.690182,0.332747,0.710539,126.711605,2.265431,3397.979616,0.573034,0.533034,0.045092,0.024937
analytical-001,analytical_reasoning,rehydration_plus_fixed_checkpoint,0.771816,0.31383,0.815899,111.228272,1.900339,3122.092707,0.770485,0.750485,0.157103,0.119475
analytical-001,analytical_reasoning,rehydration_plus_adaptive_checkpoint,0.818846,0.281415,0.860701,99.024692,1.602743,2852.280389,0.85603,0.84603,0.231456,0.196976
analytical-002,analytical_reasoning,baseline_autonomous,0.600324,0.398123,0.677908,145.634462,2.743263,3798.13134,0.523349,0.448349,0.002285,0.00111
analytical-002,analytical_reasoning,rehydration_only,0.64295,0.349135,0.697504,130.515775,2.288098,3473.067512,0.577289,0.522289,0.048327,0.026569
analytical-002,analytical_reasoning,rehydration_plus_fixed_checkpoint,0.723471,0.328165,0.800916,114.614088,1.919859,3191.339314,0.773071,0.738071,0.159618,0.120603
analytical-002,analytical_reasoning,rehydration_plus_adaptive_checkpoint,0.749732,0.284035,0.809372,102.460984,1.630865,2916.74321,0.827462,0.802462,0.201298,0.16405
analytical-003,analytical_reasoning,baseline_autonomous,0.632999,0.393135,0.661274,146.872101,2.840782,3831.128655,0.501377,0.433877,-0.012432,-0.005814
analytical-003,analytical_reasoning,rehydration_only,0.689481,0.350842,0.705117,131.481579,2.366004,3502.362036,0.5761,0.5286,0.04742,0.026193
analytical-003,analytical_reasoning,rehydration_plus_fixed_checkpoint,0.738193,0.313757,0.752863,116.015411,2.002478,3219.36258,0.724168,0.696668,0.113577,0.080687
analytical-003,analytical_reasoning,rehydration_plus_adaptive_checkpoint,0.794032,0.284229,0.813081,103.281176,1.689773,2940.937071,0.822926,0.805426,0.19661,0.160075
adversarial-001,adversarial_conflict_reasoning,baseline_autonomous,0.575747,0.431671,0.680453,153.860867,2.94194,3978.765137,0.595817,0.450817,0.011555,0.006047
